month,group_id,segment,course_type,assigned_teacher,students_count,session_min,lessons_per_session_60min,sessions_per_week,sessions_per_month,lessons_60min_per_month,price_per_lesson_60min_usd,price_per_lesson_60min_uah,course_usd,rev_per_student_pm_usd,total_rev_usd,total_rev_uah,teacher_rate_60min_usd,teacher_cost_rate_usd,cac_model,cac_group_usd,cac_amortized_pm_usd,total_cac_pm_usd,contract_months,teacher_fixed_cost_usd,total_cost_usd,profit_usd,margin_pct,breakeven_students,profitability_color,revenue_usd,opex_allocated_usd,teacher_tax_pdfo_usd,teacher_tax_vz_usd,teacher_tax_total_usd,accounting_usd,total_cost_v11_usd,profit_v11_usd,margin_v11_pct,profitability_color_v11
2025-04,G0001,B2B,Business Starter,T001,12,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,2147.04,94899.17,11.23,202.14,per_group,300.0,150.0,150.0,2,202.14,352.14,1794.9,83.6,2.07,green,2147.04,440.14,10.11,2.02,12.13,6.4267,810.84,1336.2,62.23,green
2025-04,G0002,B2B,Business C1,T002,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,11.03,88.24,per_group,300.0,150.0,150.0,2,88.24,238.24,1775.36,88.17,1.24,green,2013.6,412.79,4.41,0.88,5.29,6.4267,662.75,1350.85,67.09,green
2025-04,G0003,B2B,Business Starter,T003,11,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1312.08,57993.94,10.38,124.56,per_group,300.0,100.0,100.0,3,124.56,224.56,1087.52,82.89,2.0,green,1312.08,268.98,6.23,1.25,7.48,6.4267,507.45,804.63,61.32,green
2025-04,G0004,B2B,Business Starter,T004,11,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1312.08,57993.94,8.75,105.0,per_group,300.0,100.0,100.0,3,105.0,205.0,1107.08,84.38,1.83,green,1312.08,268.98,5.25,1.05,6.3,6.4267,486.71,825.37,62.91,green
2025-04,G0005,B2B,Business Starter,T005,11,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1312.08,57993.94,10.25,123.0,per_group,300.0,100.0,100.0,3,123.0,223.0,1089.08,83.0,1.99,green,1312.08,268.98,6.15,1.23,7.38,6.4267,505.79,806.29,61.45,green
2025-04,G0006,B2B,Business Starter,T006,10,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,1789.2,79082.64,11.31,203.58,per_group,300.0,150.0,150.0,2,203.58,353.58,1435.62,80.24,2.08,green,1789.2,366.79,10.18,2.04,12.22,6.4267,739.02,1050.18,58.7,orange
2025-04,G0007,B2B,Business Starter,T007,12,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1431.36,63266.11,8.73,104.76,per_group,300.0,100.0,100.0,3,104.76,204.76,1226.6,85.69,1.82,green,1431.36,293.43,5.24,1.05,6.29,6.4267,510.91,920.45,64.31,green
2025-04,G0008,B2B,Business C1,T008,11,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2214.96,97901.23,11.68,93.44,per_group,300.0,150.0,150.0,2,93.44,243.44,1971.52,89.01,1.27,green,2214.96,454.07,4.67,0.93,5.6,6.4267,709.54,1505.42,67.97,green
2025-04,G0009,B2B,Business C1,T009,12,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2416.32,106801.34,10.08,80.64,per_group,300.0,150.0,150.0,2,80.64,230.64,2185.68,90.45,1.2,green,2416.32,495.35,4.03,0.81,4.84,6.4267,737.26,1679.06,69.49,green
2025-04,G0010,B2B,Business Starter,T010,14,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1669.92,73810.46,8.59,103.08,per_group,300.0,100.0,100.0,3,103.08,203.08,1466.84,87.84,1.81,green,1669.92,342.33,5.15,1.03,6.18,6.4267,558.02,1111.9,66.58,green
2025-04,G0011,B2B,Business C1,T011,9,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1812.24,80101.01,11.83,94.64,per_group,300.0,150.0,150.0,2,94.64,244.64,1567.6,86.5,1.28,green,1812.24,371.51,4.73,0.95,5.68,6.4267,628.26,1183.98,65.33,green
2025-04,G0012,B2B,Business Starter,T012,11,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1312.08,57993.94,10.42,125.04,per_group,300.0,100.0,100.0,3,125.04,225.04,1087.04,82.85,2.0,green,1312.08,268.98,6.25,1.25,7.5,6.4267,507.95,804.13,61.29,green
2025-04,G0013,B2B,Business Starter,T013,14,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1669.92,73810.46,8.97,107.64,per_group,300.0,100.0,100.0,3,107.64,207.64,1462.28,87.57,1.85,green,1669.92,342.33,5.38,1.08,6.46,6.4267,562.86,1107.06,66.29,green
2025-04,G0014,B2B,Business Starter,T014,15,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1789.2,79082.64,11.13,133.56,per_group,300.0,100.0,100.0,3,133.56,233.56,1555.64,86.95,2.11,green,1789.2,366.79,6.68,1.34,8.02,9.64,618.01,1171.19,65.46,green
2025-04,G0015,B2B,Business C1,T015,12,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2416.32,106801.34,10.14,81.12,per_group,300.0,150.0,150.0,2,81.12,231.12,2185.2,90.44,1.22,green,2416.32,495.35,4.06,0.81,4.87,9.64,740.98,1675.34,69.33,green
2025-04,G0016,B2B,Business C1,T016,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,10.22,81.76,per_group,300.0,150.0,150.0,2,81.76,231.76,1379.12,85.61,1.22,green,1610.88,330.23,4.09,0.82,4.91,9.64,576.54,1034.34,64.21,green
2025-04,G0017,B2B,Business C1,T001,10,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,3020.4,133501.68,11.23,134.76,per_group,300.0,150.0,150.0,2,134.76,284.76,2735.64,90.57,0.99,green,3020.4,619.18,6.74,1.35,8.09,6.4267,918.46,2101.94,69.59,green
2025-04,G0018,B2B,Business C1,T002,8,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,2416.32,106801.34,11.03,132.36,per_group,300.0,150.0,150.0,2,132.36,282.36,2133.96,88.31,0.98,green,2416.32,495.35,6.62,1.32,7.94,6.4267,792.08,1624.24,67.22,green
2025-04,G0019,B2B,Business C1,T003,11,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2214.96,97901.23,10.38,83.04,per_group,300.0,150.0,150.0,2,83.04,233.04,1981.92,89.48,1.21,green,2214.96,454.07,4.15,0.83,4.98,6.4267,698.52,1516.44,68.46,green
