month,category,type,amount_usd,amount_uah,pct_revenue
2025-04,"Курс UAH/USD (ПриватБанк, продаж 02.06.2026)",uah_rate,1.0,43.85,—
2025-04,Гонорари+ПДФО+ВЗ+Бухоблік,teachers,10532.0,461828,9.38
2025-04,ФОП персонал+ЄСВ,payroll,7787.0,341459,6.94
2025-04,Підписки,subscriptions,285.0,12497,0.25
2025-04,Маркетинг,marketing,1205.0,52839,1.07
2025-04,Адмін/юр,admin,133.0,5832,0.12
2025-04,Резерв,reserve,120.0,5262,0.11
2025-04,LiqPay/Wayforpay 1.8%,payment_gateway,2020.16,88584,1.8
2025-04,РАЗОМ ОПЕКС,total,22082.16,968302,19.68
2025-05,"Курс UAH/USD (ПриватБанк, продаж 02.06.2026)",uah_rate,1.0,43.85,—
2025-05,Гонорари+ПДФО+ВЗ+Бухоблік,teachers,12460.0,546371,10.51
2025-05,ФОП персонал+ЄСВ,payroll,7787.0,341459,6.57
2025-05,Підписки,subscriptions,285.0,12497,0.24
2025-05,Маркетинг,marketing,1205.0,52839,1.02
2025-05,Адмін/юр,admin,133.0,5832,0.11
2025-05,Резерв,reserve,120.0,5262,0.1
2025-05,LiqPay/Wayforpay 1.8%,payment_gateway,2133.64,93560,1.8
2025-05,РАЗОМ ОПЕКС,total,24123.64,1057821,20.35
