month,teacher_id,type,status,norm_lessons_60min_month,actual_lessons_60min,hours_diff,deviation_type,deviation_comment,utilization_pct,rate_per_lesson_60min_usd,salary_usd_month,salary_uah_month,tax_pdfo_usd,tax_vz_usd,tax_total_usd,tax_pdfo_uah,tax_vz_uah,tax_total_uah,accounting_usd,accounting_uah,total_cost_with_tax_usd,total_cost_with_tax_uah
2025-04,T001,part-time,active,40,33,-7,under,Навантаження нижче норми,82.5,11.23,370.59,16380.08,18.53,3.71,22.24,819,163,983,19.28,800.0,412.11,18215
2025-04,T002,part-time,active,40,32,-8,under,Навантаження нижче норми,80.0,11.03,352.96,15600.83,17.65,3.53,21.18,780,156,936,19.28,800.0,393.42,17389
2025-04,T003,part-time,active,40,34,-6,under,Навантаження нижче норми,85.0,10.38,352.92,15599.06,17.65,3.53,21.18,780,156,936,19.28,800.0,393.38,17387
2025-04,T004,part-time,active,40,48,8,over,Понаднормове навантаження: замістив колегу,120.0,8.75,420.0,18564.0,21.0,4.2,25.2,928,185,1113,19.28,800.0,464.48,20530
2025-04,T005,part-time,active,40,31,-9,under,Навантаження нижче норми,77.5,10.25,317.75,14044.55,15.89,3.18,19.07,702,140,842,19.28,800.0,356.1,15739
2025-04,T006,part-time,active,40,38,-2,over,Перевантаження >90%: додаткові групи,95.0,11.31,429.78,18996.28,21.49,4.3,25.79,949,190,1139,19.28,800.0,474.85,20988
2025-04,T007,part-time,active,40,32,-8,under,Навантаження нижче норми,80.0,8.73,279.36,12347.71,13.97,2.79,16.76,617,123,740,19.28,800.0,315.4,13940
2025-04,T008,part-time,active,40,31,-9,under,Навантаження нижче норми,77.5,11.68,362.08,16003.94,18.1,3.62,21.72,800,160,960,19.28,800.0,403.08,17816
2025-04,T009,part-time,active,40,33,-7,under,Навантаження нижче норми,82.5,10.08,332.64,14702.69,16.63,3.33,19.96,735,147,882,19.28,800.0,371.88,16437
2025-04,T010,part-time,active,40,32,-8,under,Навантаження нижче норми,80.0,8.59,274.88,12149.7,13.74,2.75,16.49,607,121,728,19.28,800.0,310.65,13730
2025-04,T011,full-time,active,60,57,-3,over,Інтенсивна сесія + підготовка матеріалів,95.0,11.83,674.31,29804.5,33.72,6.74,40.46,1490,297,1788,19.28,800.0,734.05,32445
2025-04,T012,full-time,active,60,50,-10,under,Навантаження нижче норми,83.33,10.42,521.0,23028.2,26.05,5.21,31.26,1151,230,1381,19.28,800.0,571.54,25262
2025-04,T013,full-time,active,60,47,-13,under,Навантаження нижче норми,78.33,8.97,421.59,18634.28,21.08,4.22,25.3,931,186,1118,19.28,800.0,466.17,20604
2025-04,T014,full-time,active,60,50,-10,under,Навантаження нижче норми,83.33,11.13,556.5,24597.3,27.83,5.57,33.4,1230,246,1476,19.28,800.0,609.18,26925
2025-04,T015,full-time,active,60,18,-42,under,Частковий вихід після відпустки,30.0,10.14,182.52,8067.38,9.13,1.83,10.96,403,80,484,19.28,800.0,212.76,9403
2025-04,T016,full-time,active,60,22,-38,under,Новий викладач: групи ще набираються,36.67,10.22,224.84,9937.93,11.24,2.25,13.49,496,99,596,19.28,800.0,257.61,11386
2025-05,T001,part-time,active,40,32,-8,under,Навантаження нижче норми,80.0,11.23,359.36,15883.71,17.97,3.59,21.56,794,158,952,19.28,800.0,400.2,17688
2025-05,T002,part-time,active,40,33,-7,under,Навантаження нижче норми,82.5,11.03,363.99,16088.36,18.2,3.64,21.84,804,160,965,19.28,800.0,405.11,17905
2025-05,T003,part-time,active,40,35,-5,under,Навантаження нижче норми,87.5,10.38,363.3,16057.86,18.17,3.63,21.8,803,160,963,19.28,800.0,404.38,17873
