week_start,week_label,month,segment,leads_from_ads,trial_lessons,contracts_signed,cr_lead_to_trial_pct,cr_trial_to_contract_pct,new_students_this_week,groups_starting_this_week,note
2025-03-31,Тиж.1 Квіт.,2025-04,B2B,9,2,1,22.2,50.0,5,0,
2025-03-31,Тиж.1 Квіт.,2025-04,B2C,5,1,0,20.0,0.0,0,0,
2025-04-07,Тиж.2 Квіт.,2025-04,B2B,9,3,2,33.3,66.7,12,0,
2025-04-07,Тиж.2 Квіт.,2025-04,B2C,6,2,1,33.3,50.0,3,0,
2025-04-14,Тиж.3 Квіт.,2025-04,B2B,16,7,3,43.8,42.9,27,0,
2025-04-14,Тиж.3 Квіт.,2025-04,B2C,7,3,1,42.9,33.3,5,0,
2025-04-21,Тиж.4 Квіт.,2025-04,B2B,20,8,5,40.0,62.5,25,0,
2025-04-21,Тиж.4 Квіт.,2025-04,B2C,11,5,2,45.5,40.0,6,0,
2025-04-28,Тиж.5/Трав.1,2025-05,B2B,21,11,6,52.4,54.5,54,0,
2025-04-28,Тиж.5/Трав.1,2025-05,B2C,14,7,3,50.0,42.9,15,0,
2025-05-05,Тиж.2 Трав.,2025-05,B2B,13,7,3,53.8,42.9,27,2,"Старт груп G_NEW1, G_NEW2 (B2B Business Starter)"
2025-05-05,Тиж.2 Трав.,2025-05,B2C,10,4,2,40.0,50.0,6,0,"Старт груп G_NEW1, G_NEW2 (B2B Business Starter)"
2025-05-12,Тиж.3 Трав.,2025-05,B2B,10,5,2,50.0,40.0,14,1,"Старт груп G_NEW3 (B2B C1), G_NEW4 (B2C IT Starter)"
2025-05-12,Тиж.3 Трав.,2025-05,B2C,6,3,1,50.0,33.3,3,1,"Старт груп G_NEW3 (B2B C1), G_NEW4 (B2C IT Starter)"
2025-05-19,Тиж.4 Трав.,2025-05,B2B,7,2,1,28.6,50.0,7,1,"Старт груп G_NEW5 (B2C IT Basic), G_NEW6 (B2B C1)"
2025-05-19,Тиж.4 Трав.,2025-05,B2C,4,1,1,25.0,100.0,3,1,"Старт груп G_NEW5 (B2C IT Basic), G_NEW6 (B2B C1)"
