month,teacher_id,type,status,max_hours_month,norm_lessons_60min_month,actual_lessons_60min,hours_diff,deviation_type,deviation_comment,utilization_pct,rate_per_lesson_60min_usd,salary_usd_month,salary_uah_month,tax_pdfo_usd,tax_vz_usd,tax_total_usd,tax_pdfo_uah,tax_vz_uah,tax_total_uah,accounting_usd,accounting_uah,total_cost_with_tax_usd,total_cost_with_tax_uah
2025-04,T001,part-time,active,70,70,58,-12,,,82.86,10.5,609.0,25273.5,30.45,6.09,36.54,1263,252,1516,19.28,800.12,664.82,27590
2025-04,T002,part-time,active,70,70,58,-12,,,82.86,10.8,626.4,25995.6,31.32,6.26,37.58,1299,259,1559,19.28,800.12,683.26,28355
2025-04,T003,part-time,active,70,70,58,-12,,,82.86,10.2,591.6,24551.4,29.58,5.92,35.5,1227,245,1473,19.28,800.12,646.38,26824
2025-04,T004,part-time,active,70,70,78,8,over,Понаднормове навантаження,111.43,9.9,772.2,32046.3,38.61,7.72,46.33,1602,320,1922,19.28,800.12,837.81,34769
2025-04,T005,part-time,active,70,70,58,-12,,,82.86,10.0,580.0,24070.0,29.0,5.8,34.8,1203,240,1444,19.28,800.12,634.08,26314
2025-04,T006,part-time,active,70,70,39,-31,,,55.71,11.0,429.0,17803.5,21.45,4.29,25.74,890,178,1068,19.28,800.12,474.02,19671
2025-04,T007,part-time,active,70,70,52,-18,,,74.29,10.3,535.6,22227.4,26.78,5.36,32.14,1111,222,1333,19.28,800.12,587.02,24361
2025-04,T008,part-time,active,70,70,39,-31,,,55.71,9.8,382.2,15861.3,19.11,3.82,22.93,793,158,951,19.28,800.12,424.41,17613
2025-04,T009,part-time,active,70,70,39,-31,,,55.71,10.6,413.4,17156.1,20.67,4.13,24.8,857,171,1029,19.28,800.12,457.48,18985
2025-04,T010,part-time,active,70,70,0,-70,under,Викладач без груп у цьому місяці,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0,0,0,19.28,800.12,19.28,800
2025-04,T011,full-time,active,100,100,81,-19,,,81.0,12.5,1012.5,42018.75,50.62,10.12,60.74,2100,419,2520,19.28,800.12,1092.52,45339
2025-04,T012,full-time,active,100,100,81,-19,,,81.0,12.0,972.0,40338.0,48.6,9.72,58.32,2016,403,2420,19.28,800.12,1049.6,43558
2025-04,T013,full-time,active,100,100,68,-32,,,68.0,11.8,802.4,33299.6,40.12,8.02,48.14,1664,332,1997,19.28,800.12,869.82,36097
2025-04,T014,full-time,active,100,100,81,-19,,,81.0,12.2,988.2,41010.3,49.41,9.88,59.29,2050,410,2460,19.28,800.12,1066.77,44270
2025-04,T015,full-time,active,100,100,26,-74,under,Нижче норми: мало груп,26.0,11.5,299.0,12408.5,14.95,2.99,17.94,620,124,744,19.28,800.12,336.22,13953
2025-04,T016,full-time,active,100,100,0,-100,under,Викладач без груп у цьому місяці,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0,0,0,19.28,800.12,19.28,800
2025-05,T001,part-time,active,70,70,58,-12,,,82.86,10.5,609.0,25273.5,30.45,6.09,36.54,1263,252,1516,19.28,800.12,664.82,27590
2025-05,T002,part-time,active,70,70,58,-12,,,82.86,10.8,626.4,25995.6,31.32,6.26,37.58,1299,259,1559,19.28,800.12,683.26,28355
2025-05,T003,part-time,active,70,70,58,-12,,,82.86,10.2,591.6,24551.4,29.58,5.92,35.5,1227,245,1473,19.28,800.12,646.38,26824
2025-05,T004,part-time,active,70,70,78,8,over,Понаднормове навантаження,111.43,9.9,772.2,32046.3,38.61,7.72,46.33,1602,320,1922,19.28,800.12,837.81,34769
2025-05,T005,part-time,active,70,70,58,-12,,,82.86,10.0,580.0,24070.0,29.0,5.8,34.8,1203,240,1444,19.28,800.12,634.08,26314
2025-05,T006,part-time,active,70,70,39,-31,,,55.71,11.0,429.0,17803.5,21.45,4.29,25.74,890,178,1068,19.28,800.12,474.02,19671
