month,category,type,amount_usd,amount_uah,pct_revenue
2025-04,Гонорари викладачів + ПДФО/ВЗ + бухоблік,teachers,5333,221320,10.55
2025-04,ФОП операційний персонал + ЄСВ,payroll,7787,323160,15.41
2025-04,Підписки та сервіси,subscriptions,285,11828,0.56
2025-04,Маркетинг (мін.),marketing,1205,50008,2.38
2025-04,Адмін / юр / банк,admin,133,5520,0.26
2025-04,LiqPay/Wayforpay 1.8%,payment_gateway,909.71,37753,1.8
2025-04,Резервний фонд,reserve,120,4980,0.24
2025-04,РАЗОМ ОПЕКС,total,15772.71,654567,31.21
2025-05,Гонорари викладачів + ПДФО/ВЗ + бухоблік,teachers,5333,221320,8.96
2025-05,ФОП операційний персонал + ЄСВ,payroll,7787,323160,13.08
2025-05,Підписки та сервіси,subscriptions,285,11828,0.48
2025-05,Маркетинг (мін.),marketing,1205,50008,2.02
2025-05,Адмін / юр / банк,admin,133,5520,0.22
2025-05,LiqPay/Wayforpay 1.8%,payment_gateway,1071.4,44463,1.8
2025-05,Резервний фонд,reserve,120,4980,0.2
2025-05,РАЗОМ ОПЕКС,total,15934.4,661278,26.77
