month,category,type,amount_usd,amount_uah,pct_revenue
2025-04,Гонорари+ПДФО+ВЗ+Бухоблік,teachers,9844.0,408526,9.04
2025-04,ФОП персонал+ЄСВ,payroll,7787.0,323160,7.15
2025-04,Підписки,subscriptions,285.0,11827,0.26
2025-04,Маркетинг,marketing,1205.0,50007,1.11
2025-04,Адмін/юр,admin,133.0,5519,0.12
2025-04,Резерв,reserve,120.0,4980,0.11
2025-04,LiqPay/Wayforpay 1.8%,payment_gateway,1960.6,81364,1.8
2025-04,РАЗОМ ОПЕКС,total,21334.6,885385,19.59
2025-05,Гонорари+ПДФО+ВЗ+Бухоблік,teachers,15025.0,623537,10.13
2025-05,ФОП персонал+ЄСВ,payroll,7787.0,323160,5.25
2025-05,Підписки,subscriptions,285.0,11827,0.19
2025-05,Маркетинг,marketing,1205.0,50007,0.81
2025-05,Адмін/юр,admin,133.0,5519,0.09
2025-05,Резерв,reserve,120.0,4980,0.08
2025-05,LiqPay/Wayforpay 1.8%,payment_gateway,2670.18,110812,1.8
2025-05,РАЗОМ ОПЕКС,total,27225.18,1129844,18.35
