month,group_id,segment,course_type,assigned_teacher,students_count,session_min,lessons_per_session_60min,sessions_per_week,sessions_per_month,lessons_60min_per_month,price_per_lesson_60min_usd,price_per_lesson_60min_uah,course_usd,rev_per_student_pm_usd,total_rev_usd,total_rev_uah,teacher_rate_60min_usd,teacher_cost_rate_usd,cac_model,cac_group_usd,cac_amortized_pm_usd,total_cac_pm_usd,contract_months,teacher_fixed_cost_usd,total_cost_usd,profit_usd,margin_pct,breakeven_students,profitability_color,revenue_usd,opex_allocated_usd,teacher_tax_pdfo_usd,teacher_tax_vz_usd,teacher_tax_total_usd,accounting_usd,total_cost_v11_usd,profit_v11_usd,margin_v11_pct,profitability_color_v11
2025-04,G0001,B2B,Business Starter,T001,4,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,715.68,31633.06,11.23,202.14,per_group,300.0,150.0,150.0,2,202.14,352.14,363.54,50.8,1.97,green,715.68,146.71,10.11,2.02,12.13,6.4267,517.41,198.27,27.7,red
2025-04,G0002,B2B,Business C1,T002,5,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1006.8,44500.56,11.03,88.24,per_group,300.0,150.0,150.0,2,88.24,238.24,768.56,76.3,1.18,green,1006.8,206.39,4.41,0.88,5.29,6.4267,456.35,550.45,54.67,orange
2025-04,G0003,B2B,Business Starter,T003,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,10.38,124.56,per_group,300.0,100.0,100.0,3,124.56,224.56,848.96,79.1,1.88,green,1073.52,220.07,6.23,1.25,7.48,6.4267,458.54,614.98,57.29,orange
2025-04,G0004,B2B,Business Starter,T004,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.75,105.0,per_group,300.0,100.0,100.0,3,105.0,205.0,749.24,78.5,1.72,green,954.24,195.62,5.25,1.05,6.3,6.4267,413.35,540.89,56.68,orange
2025-04,G0005,B2B,Business Starter,T005,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,10.25,123.0,per_group,300.0,100.0,100.0,3,123.0,223.0,254.12,53.3,1.87,green,477.12,97.81,6.15,1.23,7.38,6.4267,334.62,142.5,29.87,red
2025-04,G0006,B2B,Business Starter,T006,5,90,1.5,3,12,18.0,9.94,439.5,357.96,178.92,894.6,39541.32,11.31,203.58,per_group,300.0,150.0,150.0,2,203.58,353.58,541.02,60.5,1.98,green,894.6,183.39,10.18,2.04,12.22,6.4267,555.62,338.98,37.89,orange
2025-04,G0007,B2B,Business Starter,T007,8,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,954.24,42177.41,8.73,104.76,per_group,300.0,100.0,100.0,3,104.76,204.76,749.48,78.5,1.72,green,954.24,195.62,5.24,1.05,6.29,6.4267,413.1,541.14,56.71,orange
2025-04,G0008,B2B,Business C1,T008,5,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1006.8,44500.56,11.68,93.44,per_group,300.0,150.0,150.0,2,93.44,243.44,763.36,75.8,1.21,green,1006.8,206.39,4.67,0.93,5.6,6.4267,461.86,544.94,54.13,orange
2025-04,G0009,B2B,Business C1,T009,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,10.08,80.64,per_group,300.0,150.0,150.0,2,80.64,230.64,1782.96,88.5,1.15,green,2013.6,412.79,4.03,0.81,4.84,6.4267,654.7,1358.9,67.49,green
2025-04,G0010,B2B,Business Starter,T010,9,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1073.52,47449.58,8.59,103.08,per_group,300.0,100.0,100.0,3,103.08,203.08,870.44,81.1,1.7,green,1073.52,220.07,5.15,1.03,6.18,6.4267,435.76,637.76,59.41,orange
2025-04,G0011,B2B,Business C1,T011,6,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1208.16,53400.67,11.83,94.64,per_group,300.0,150.0,150.0,2,94.64,244.64,963.52,79.8,1.21,green,1208.16,247.67,4.73,0.95,5.68,6.4267,504.42,703.74,58.25,orange
2025-04,G0012,B2B,Business Starter,T012,10,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,1192.8,52721.76,10.42,125.04,per_group,300.0,100.0,100.0,3,125.04,225.04,967.76,81.1,1.89,green,1192.8,244.52,6.25,1.25,7.5,6.4267,483.49,709.31,59.47,orange
2025-04,G0013,B2B,Business Starter,T013,4,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,477.12,21088.7,8.97,107.64,per_group,300.0,100.0,100.0,3,107.64,207.64,269.48,56.5,1.74,green,477.12,97.81,5.38,1.08,6.46,6.4267,318.34,158.78,33.28,orange
2025-04,G0014,B2B,Business Starter,T014,6,90,1.5,2,8,12.0,9.94,439.5,357.96,119.28,715.68,31633.06,11.13,133.56,per_group,300.0,100.0,100.0,3,133.56,233.56,482.12,67.4,1.96,green,715.68,146.71,6.68,1.34,8.02,9.64,397.93,317.75,44.4,orange
2025-04,G0015,B2B,Business C1,T015,10,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,2013.6,89001.12,10.14,81.12,per_group,300.0,150.0,150.0,2,81.12,231.12,1782.48,88.5,1.15,green,2013.6,412.79,4.06,0.81,4.87,9.64,658.42,1355.18,67.3,green
2025-04,G0016,B2B,Business C1,T016,8,60,1.0,2,8,8.0,25.17,1112.5,402.71,201.36,1610.88,71200.9,10.22,81.76,per_group,300.0,150.0,150.0,2,81.76,231.76,1379.12,85.6,1.15,green,1610.88,330.23,4.09,0.82,4.91,9.64,576.54,1034.34,64.21,green
2025-04,G0017,B2B,Business C1,T001,4,60,1.0,3,12,12.0,25.17,1112.5,402.71,302.04,1208.16,53400.67,11.23,134.76,per_group,300.0,150.0,150.0,2,134.76,284.76,923.4,76.4,0.94,green,1208.16,247.67,6.74,1.35,8.09,6.4267,546.95,661.21,54.73,orange
