month,category,type,amount_usd,amount_uah,pct_revenue
2025-04,Гонорари+ПДФО+ВЗ+Бухоблік,teachers,10532.0,437078,9.3
2025-04,ФОП персонал+ЄСВ,payroll,7787.0,323160,6.88
2025-04,Підписки,subscriptions,285.0,11827,0.25
2025-04,Маркетинг,marketing,1205.0,50007,1.06
2025-04,Адмін/юр,admin,133.0,5519,0.12
2025-04,Резерв,reserve,120.0,4980,0.11
2025-04,LiqPay/Wayforpay 1.8%,payment_gateway,2038.0,84577,1.8
2025-04,РАЗОМ ОПЕКС,total,22100.0,917150,19.52
2025-05,Гонорари+ПДФО+ВЗ+Бухоблік,teachers,12624.0,523896,10.12
2025-05,ФОП персонал+ЄСВ,payroll,7787.0,323160,6.24
2025-05,Підписки,subscriptions,285.0,11827,0.23
2025-05,Маркетинг,marketing,1205.0,50007,0.97
2025-05,Адмін/юр,admin,133.0,5519,0.11
2025-05,Резерв,reserve,120.0,4980,0.1
2025-05,LiqPay/Wayforpay 1.8%,payment_gateway,2244.54,93148,1.8
2025-05,РАЗОМ ОПЕКС,total,24398.54,1012539,19.57
